bench-wer  2026-06-25 00:09:48  iters=5  cores=1-6 (pinned)  gov=performance

── moonshine-base ──
  sample                   audio     enc     dec    RTF    RSS   CPU    WER strict
  ls_1688-142285-0000.wav   14.6s   149ms   652ms  0.055  326MB  357%  0.188  0.219
  ls_1688-142285-0009.wav    2.5s    24ms   106ms  0.051  259MB  228%  0.000  0.000
  ls_1688-142285-0021.wav    4.2s    42ms   219ms  0.062  267MB  273%  0.000  0.000
  ls_1688-142285-0040.wav   19.5s   223ms   886ms  0.057  376MB  386%  0.130  0.174
  ls_1688-142285-0064.wav    7.2s    73ms   362ms  0.060  284MB  314%  0.238  0.429
  ls_1688-142285-0087.wav    6.4s    68ms   258ms  0.051  281MB  283%  0.231  0.231
  ls_1998-29455-0008.wav    2.5s    26ms    87ms  0.045  255MB  206%  1.000  1.000
  ls_1998-29455-0011.wav    3.8s    41ms   292ms  0.088  266MB  283%  0.550  0.550
  ls_1998-29455-0012.wav    3.0s    35ms   316ms  0.119  261MB  218%  0.250  0.250
  ls_1998-29455-0029.wav    3.2s    86ms   346ms  0.133  260MB  169%  0.750  0.750
  ls_2414-128291-0002.wav   17.1s   655ms  1835ms  0.146  352MB  190%  0.167  0.167
  ls_2414-128291-0024.wav    1.5s    55ms   185ms  0.166  250MB  137%  0.333  0.333
  ls_2414-159411-0014.wav    9.2s   369ms  1116ms  0.161  299MB  189%  0.500  0.500
  ls_2609-156975-0002.wav   10.0s   393ms   924ms  0.132  303MB  189%  0.375  0.417
  ls_2609-156975-0005.wav    5.8s   234ms   526ms  0.130  275MB  158%  0.000  0.000
  ls_2609-157645-0005.wav   15.5s   692ms  1965ms  0.171  342MB  203%  0.129  0.226
  ls_2609-169640-0012.wav    2.1s    63ms   258ms  0.154  253MB  150%  1.750  1.750
  ls_2609-169640-0014.wav    7.3s   263ms  1065ms  0.183  284MB  189%  0.043  0.043
  ls_2609-169640-0015.wav    5.2s   188ms   706ms  0.172  274MB  178%  0.643  0.643
  ls_2609-169640-0016.wav    3.9s   153ms   456ms  0.158  264MB  157%  0.167  0.167
  ls_2609-169640-0018.wav    5.9s   239ms   763ms  0.171  276MB  161%  0.222  0.222
  ls_3005-163390-0007.wav    6.2s   231ms   730ms  0.156  280MB  168%  0.000  0.045
  ls_3005-163399-0015.wav    4.5s   206ms   636ms  0.188  271MB  161%  0.067  0.067
  ls_3080-5032-0012.wav    12.4s   554ms  1778ms  0.188  312MB  185%  0.057  0.143
  ls_3080-5032-0020.wav     2.8s    91ms   476ms  0.205  260MB  158%  0.143  0.286
  ls_3080-5040-0018.wav     1.7s    64ms   187ms  0.151  253MB  136%  0.000  0.000
  ls_3080-5040-0023.wav     3.1s   112ms   242ms  0.113  264MB  145%  0.000  0.286
  ls_3331-159605-0036.wav    5.6s   234ms   966ms  0.213  276MB  180%  0.130  0.130
  ls_3331-159609-0011.wav   10.7s   440ms  1642ms  0.195  305MB  189%  0.147  0.265
  ls_3528-168669-0067.wav    4.2s   167ms   496ms  0.159  267MB  158%  0.000  0.143
  ls_3528-168669-0099.wav    2.9s   136ms   597ms  0.250  259MB  155%  0.000  0.154
  ls_3538-163622-0015.wav    5.2s   191ms   612ms  0.156  274MB  170%  0.263  0.368
  ls_3538-163622-0017.wav    2.7s    79ms   380ms  0.169  260MB  154%  0.091  0.091
  ls_3538-163622-0021.wav    3.1s    64ms   245ms  0.100  262MB  148%  0.667  0.889
  ls_367-293981-0003.wav    9.1s   115ms   641ms  0.083  299MB  298%  0.083  0.222
  ls_3764-168670-0055.wav    5.2s    53ms   278ms  0.063  275MB  276%  0.053  0.263
  ls_3764-168671-0027.wav    3.9s    39ms   185ms  0.057  265MB  249%  0.000  0.000
  ls_3997-182399-0006.wav   18.7s   386ms  1136ms  0.081  369MB  305%  0.217  0.348
  ls_3997-182399-0011.wav    5.7s    73ms   351ms  0.074  278MB  244%  0.200  0.267
  ls_4198-12259-0035.wav    6.7s    81ms   399ms  0.072  281MB  270%  0.050  0.150
  ls_4198-12259-0037.wav    4.0s    55ms   214ms  0.068  265MB  216%  0.444  0.444
  ls_4294-35475-0007.wav    5.9s    70ms   391ms  0.079  276MB  268%  0.050  0.050
  ls_4294-35475-0022.wav   20.0s   297ms  1795ms  0.104  381MB  327%  0.193  0.246
  ls_4294-9934-0024.wav     3.4s    40ms   248ms  0.085  262MB  236%  0.000  0.000
  ls_4350-10919-0032.wav    3.5s    52ms   305ms  0.103  263MB  239%  0.000  0.000
  ls_4350-9170-0025.wav    16.3s   231ms  1321ms  0.095  347MB  318%  0.097  0.113
  ls_4350-9170-0029.wav     3.9s    54ms   310ms  0.094  265MB  236%  0.000  0.000
  ls_4350-9170-0034.wav     6.4s    89ms   511ms  0.093  279MB  267%  0.000  0.087
  ls_4852-28311-0026.wav    2.5s    35ms   128ms  0.065  257MB  193%  0.444  0.444
  ls_4852-28312-0025.wav    3.6s    53ms   169ms  0.062  264MB  210%  0.333  0.500
  ls_4852-28319-0000.wav    3.0s    49ms   167ms  0.073  261MB  204%  0.000  0.000
  ls_533-1066-0022.wav      4.6s    68ms   272ms  0.074  272MB  229%  0.000  0.200
  ls_533-131562-0007.wav    4.1s    57ms   210ms  0.065  264MB  212%  0.500  0.600
  ls_533-131564-0001.wav   15.2s   224ms   972ms  0.079  339MB  301%  0.238  0.286
  ls_5442-41168-0013.wav   10.1s   117ms   625ms  0.074  299MB  295%  0.037  0.074
  ls_5442-41168-0021.wav   15.4s   244ms  1058ms  0.084  342MB  308%  0.085  0.149
  ls_5442-41169-0014.wav    4.9s    67ms   262ms  0.067  273MB  220%  0.000  0.133
  ls_5442-41169-0021.wav    8.8s   152ms   623ms  0.088  296MB  250%  0.238  0.333
  ls_5484-24317-0026.wav    2.2s    35ms   162ms  0.089  258MB  200%  0.571  0.571
  ls_5484-24317-0030.wav    8.0s   106ms   489ms  0.075  289MB  270%  0.050  0.050
  ls_5764-299665-0024.wav    3.7s    51ms   152ms  0.055  264MB  205%  0.000  0.111
  ls_5764-299665-0037.wav    5.5s    82ms   247ms  0.060  276MB  230%  0.083  0.167
  ls_5764-299665-0074.wav    7.3s   107ms   334ms  0.060  284MB  248%  0.176  0.235
  ls_5764-299665-0076.wav    1.6s    16ms   206ms  0.137  254MB  224%  0.750  0.750
  ls_6070-63485-0009.wav    7.5s   101ms   512ms  0.082  286MB  264%  0.125  0.250
  ls_6070-86744-0002.wav   16.6s   248ms   998ms  0.075  349MB  306%  0.049  0.049
  ls_6128-63240-0004.wav   14.9s   278ms  1217ms  0.100  331MB  290%  0.048  0.143
  ls_6128-63244-0002.wav    2.8s    38ms   194ms  0.082  260MB  211%  0.091  0.273
  ls_6128-63244-0013.wav    3.7s    53ms   224ms  0.076  263MB  212%  0.091  0.091
  ls_6128-63244-0021.wav   10.5s   159ms   766ms  0.088  303MB  275%  0.033  0.100
  ls_6432-63722-0052.wav    3.7s    61ms   400ms  0.125  264MB  237%  0.000  0.000
  ls_6432-63722-0057.wav    1.5s    25ms   121ms  0.095  252MB  173%  0.000  0.000
  ls_6432-63722-0059.wav    1.7s    21ms   174ms  0.113  253MB  209%  0.000  0.000
  ls_6432-63723-0000.wav    5.9s    85ms   463ms  0.093  276MB  212%  0.056  0.167
  ls_6432-63723-0014.wav    6.5s   228ms   619ms  0.130  279MB  174%  0.059  0.059
  ls_6432-63723-0047.wav    3.3s   121ms   417ms  0.161  262MB  153%  0.000  0.000
  ls_6432-63723-0050.wav    6.1s   269ms   594ms  0.142  277MB  156%  0.143  0.286
  ls_6938-70848-0000.wav    3.0s   123ms   463ms  0.196  262MB  141%  0.000  0.000
  ls_6938-70848-0026.wav    2.2s    82ms   288ms  0.171  255MB  141%  0.000  0.000
  ls_6938-70848-0027.wav    4.7s   186ms   482ms  0.143  273MB  155%  0.077  0.154
  ls_7018-75789-0002.wav   12.7s   437ms  1250ms  0.133  313MB  193%  0.118  0.265
  ls_7018-75789-0031.wav   15.4s   337ms  2350ms  0.174  343MB  192%  0.000  0.000
  ls_7105-2330-0013.wav     6.3s    82ms   354ms  0.069  281MB  233%  0.083  0.333
  ls_7105-2330-0024.wav     1.9s    19ms    90ms  0.057  253MB  195%  0.200  0.200
  ls_7105-2340-0029.wav     4.0s    41ms   192ms  0.059  265MB  256%  0.100  0.100
  ls_7902-96591-0009.wav    3.3s    36ms   241ms  0.084  261MB  186%  0.067  0.133
  ls_7902-96591-0024.wav    4.2s    88ms   500ms  0.139  265MB  158%  0.045  0.045
  ls_7902-96592-0008.wav    1.9s    39ms   230ms  0.142  255MB  202%  0.375  0.375
  ls_7902-96594-0000.wav    2.2s    22ms   196ms  0.101  255MB  232%  0.778  0.889
  ls_7902-96595-0022.wav    1.9s    25ms   141ms  0.086  255MB  203%  0.200  0.200
  ls_7975-280057-0000.wav    4.2s    46ms   259ms  0.072  268MB  252%  0.067  0.133
  ls_7975-280057-0019.wav    8.6s    92ms   470ms  0.065  290MB  299%  0.077  0.077
  ls_7975-280076-0009.wav    6.7s   109ms   653ms  0.113  284MB  220%  0.200  0.360
  ls_7975-280076-0026.wav    3.3s   184ms   571ms  0.228  262MB  140%  0.111  0.111
  ls_7975-280085-0016.wav    5.5s   214ms   933ms  0.209  276MB  167%  0.167  0.333
  ls_8131-117016-0050.wav    1.8s    75ms   236ms  0.175  253MB  128%  0.000  0.000
  ls_8131-117029-0013.wav    3.3s   160ms   420ms  0.177  262MB  144%  0.000  0.250
  ls_8131-117029-0021.wav    4.5s    63ms   468ms  0.119  271MB  158%  0.333  0.583
  ls_8188-269290-0000.wav    1.6s    69ms   240ms  0.190  253MB  135%  0.000  0.200
  ls_8280-266249-0029.wav    6.4s   166ms  1021ms  0.185  280MB  163%  0.037  0.074
  ----------------------------------------------------------------------------
  AGGREGATE               622.8s 14120ms 55218ms  0.111  381MB  386%  0.146  0.207

── moonshine-streaming-small ──
  sample                   audio     enc     dec    RTF    RSS   CPU    WER strict
  ls_1688-142285-0000.wav   14.6s   937ms  1724ms  0.183  542MB  173%  0.219  0.250
  ls_1688-142285-0009.wav    2.5s   248ms   263ms  0.201  367MB  133%  0.000  0.250
  ls_1688-142285-0021.wav    4.2s   408ms   439ms  0.200  377MB  151%  0.000  0.000
  ls_1688-142285-0040.wav   19.5s  1706ms  2399ms  0.211  656MB  193%  0.174  0.239
  ls_1688-142285-0064.wav    7.2s   484ms   634ms  0.155  413MB  184%  0.238  0.381
  ls_1688-142285-0087.wav    6.4s   515ms   465ms  0.153  403MB  157%  0.385  0.385
  ls_1998-29455-0008.wav    2.5s   225ms   246ms  0.189  367MB  133%  1.000  1.000
  ls_1998-29455-0011.wav    3.8s   188ms   302ms  0.129  369MB  152%  0.600  0.600
  ls_1998-29455-0012.wav    3.0s   272ms   430ms  0.237  367MB  140%  0.583  0.583
  ls_1998-29455-0029.wav    3.2s   242ms   348ms  0.182  366MB  143%  0.583  0.583
  ls_2414-128291-0002.wav   17.1s  1335ms  1625ms  0.173  600MB  195%  0.194  0.194
  ls_2414-128291-0024.wav    1.5s   136ms    97ms  0.161  367MB  123%  0.333  0.667
  ls_2414-159411-0014.wav    9.2s   891ms   672ms  0.170  444MB  169%  0.192  0.192
  ls_2609-156975-0002.wav   10.0s   954ms   901ms  0.185  455MB  174%  0.167  0.292
  ls_2609-156975-0005.wav    5.8s   516ms   399ms  0.157  395MB  164%  0.000  0.000
  ls_2609-157645-0005.wav   15.5s  1421ms  1677ms  0.200  563MB  190%  0.194  0.323
  ls_2609-169640-0012.wav    2.1s   188ms   170ms  0.172  366MB  132%  1.500  1.500
  ls_2609-169640-0014.wav    7.3s   399ms   875ms  0.175  414MB  164%  0.087  0.087
  ls_2609-169640-0015.wav    5.2s   527ms   444ms  0.187  384MB  153%  0.429  0.429
  ls_2609-169640-0016.wav    3.9s   347ms   332ms  0.176  370MB  150%  0.083  0.083
  ls_2609-169640-0018.wav    5.9s   527ms   505ms  0.176  396MB  155%  0.167  0.222
  ls_3005-163390-0007.wav    6.2s   583ms   621ms  0.196  401MB  156%  0.045  0.045
  ls_3005-163399-0015.wav    4.5s   366ms   423ms  0.177  378MB  151%  0.067  0.067
  ls_3080-5032-0012.wav    12.4s  1158ms  1429ms  0.208  497MB  179%  0.000  0.114
  ls_3080-5032-0020.wav     2.8s   285ms   378ms  0.240  367MB  136%  0.071  0.071
  ls_3080-5040-0018.wav     1.7s   143ms   131ms  0.165  367MB  124%  0.250  0.500
  ls_3080-5040-0023.wav     3.1s   136ms   166ms  0.096  367MB  140%  0.000  0.429
  ls_3331-159605-0036.wav    5.6s   554ms   889ms  0.256  396MB  153%  0.130  0.130
  ls_3331-159609-0011.wav   10.7s   832ms  1362ms  0.206  473MB  169%  0.324  0.412
  ls_3528-168669-0067.wav    4.2s   389ms   361ms  0.179  374MB  149%  0.000  0.143
  ls_3528-168669-0099.wav    2.9s   226ms   409ms  0.217  367MB  144%  0.000  0.154
  ls_3538-163622-0015.wav    5.2s   452ms   550ms  0.194  384MB  156%  0.158  0.316
  ls_3538-163622-0017.wav    2.7s   262ms   328ms  0.217  368MB  138%  0.091  0.091
  ls_3538-163622-0021.wav    3.1s   277ms   369ms  0.209  366MB  147%  0.778  1.000
  ls_367-293981-0003.wav    9.1s   855ms  1333ms  0.239  444MB  170%  0.083  0.139
  ls_3764-168670-0055.wav    5.2s   567ms   735ms  0.249  386MB  148%  0.105  0.158
  ls_3764-168671-0027.wav    3.9s   173ms   161ms  0.085  372MB  147%  0.100  0.100
  ls_3997-182399-0006.wav   18.7s  1920ms  2123ms  0.216  633MB  188%  0.239  0.348
  ls_3997-182399-0011.wav    5.7s   576ms   625ms  0.210  395MB  155%  0.200  0.267
  ls_4198-12259-0035.wav    6.7s   613ms   772ms  0.206  408MB  159%  0.050  0.050
  ls_4198-12259-0037.wav    4.0s   305ms   341ms  0.164  371MB  151%  0.333  0.444
  ls_4294-35475-0007.wav    5.9s   492ms   652ms  0.195  396MB  164%  0.050  0.050
  ls_4294-35475-0022.wav   20.0s  1878ms  2968ms  0.242  649MB  194%  0.175  0.316
  ls_4294-9934-0024.wav     3.4s   306ms   386ms  0.204  368MB  150%  0.000  0.000
  ls_4350-10919-0032.wav    3.5s   258ms   372ms  0.183  367MB  159%  0.000  0.000
  ls_4350-9170-0025.wav    16.3s  1543ms  2534ms  0.251  580MB  190%  0.097  0.113
  ls_4350-9170-0029.wav     3.9s   302ms   430ms  0.189  371MB  157%  0.062  0.062
  ls_4350-9170-0034.wav     6.4s   556ms   788ms  0.208  405MB  162%  0.000  0.087
  ls_4852-28311-0026.wav    2.5s   185ms   176ms  0.143  368MB  139%  0.333  0.333
  ls_4852-28312-0025.wav    3.6s   315ms   240ms  0.156  367MB  144%  0.167  0.167
  ls_4852-28319-0000.wav    3.0s   251ms   241ms  0.167  367MB  139%  0.000  0.000
  ls_533-1066-0022.wav      4.6s   368ms   409ms  0.170  379MB  149%  0.000  0.300
  ls_533-131562-0007.wav    4.1s   387ms   330ms  0.174  373MB  153%  0.400  0.600
  ls_533-131564-0001.wav   15.2s  1564ms  2217ms  0.248  558MB  177%  0.476  0.500
  ls_5442-41168-0013.wav   10.1s  1005ms  1288ms  0.228  458MB  173%  0.222  0.333
  ls_5442-41168-0021.wav   15.4s  1430ms  2143ms  0.231  562MB  184%  0.106  0.234
  ls_5442-41169-0014.wav    4.9s   436ms   316ms  0.153  383MB  153%  0.000  0.133
  ls_5442-41169-0021.wav    8.8s   483ms   583ms  0.121  433MB  208%  0.429  0.571
